name,Gestellt am,Typ,Bearbeitungsfrist,Aktuelle Fristverlängerung,Art,Status,Gestellt von,Zuständiges Referat,Erledigt am,document_link,document_content
"StR-Antrag 20-26 / F 00878 Krankenstand des Personals der Stadtverwaltung – Zahlen, Ursachen und Prävention",2024-02-28,Anfrage,10.04.2024,,Öffentlicher Vorgang,Erledigt,"AfD, Herr StR Daniel Stanke, Herr StR Markus Walbrunn, Frau StRin Iris Wassill",Personal- und Organisationsreferat,09.04.2024,https://risi.muenchen.de/risi/./dokument/v/8289813,"Anfrage
Herrn Oberbürgermeister Dieter Reiter
Rathaus
80331 München München, 27.2.2024
Krankenstand des Personals der Stadtverwaltung – Zahlen, Ursachen und Prävention
Die TK hat für 2023 festgestellt, dass mit 19,4 Krankheitstage pro Arbeitnehmer ein Höchststand 
erreicht wurde (https://www.tk.de/presse/themen/praevention/gesundheitsstudien/krankenstand-
2023-erneuter-rekord-bei-fehlzeiten-2164486?tkcm=ab). Aus den Bundesstatistiken ist abzulesen 
(https://www.destatis.de/DE/Themen/Arbeit/Arbeitsmarkt/Qualitaet-Arbeit/Dimension-2/
krankenstand.html), dass sich nach einem Tiefstand von 2007 mit 8,1 Krankentage sich die Zahl damit
mehr als verdoppelt hat.
Der Ob wird gebeten folgende Fragen zu beantworten:
1. Wie hat sich der durchschnittliche Krankenstand in Prozent bei den Mitarbeitern der LHM von 
2013 bis dato entwickelt (bitte nach Jahren aufgliedern)?
2. Wie viele bei der Landeshauptstadt München beschäftigten Arbeitnehmer 
und Beamte waren im Laufe der jeweiligen Monate im Zeitraum von Januar 
2019 bis Ende 2023 mindestens einen Tag krankgemeldet? Bitte monatsweise absolute Zahl und 
Gesamtbeschäftigtenanzahl angeben.
3. Wie oft waren Mitarbeiter von 2019 bis 2023 inklusive pro Jahr mehr als sechs Wochen erkrankt?
4. Wie viele Stellen von Langzeiterkrankten(über sechs Wochen) wurden jeweils übergangsweise
oder neu besetzt zwischen 2019 und 2023 inklusive?
5. Wie oft wurden betriebliche Eingliederungsmanagementmaßnahmen 2019 bis inklusive 2023 
durchgeführt? Bitte auch die drei häufigsten Maßnahmen (z.B. Kur, Änderung des Arbeitsplatzes, 
etc.) benennen.
6. Wird Ursachenforschung zum Zweck der Prävention von Krankheitsfällen betrieben?  Wenn ja,
von wem und welche Ergebnisse sind festgestellt worden?
Initiative:
Iris Wassill Markus Walbrunn Daniel Stanke
ea. Stadträtin                                                   ea. Stadtrat                                                              ea. Stadtrat
AfD-Stadtratsgruppe, Marienplatz 8, 80331 München Seite 1 von 1"
StR-Antrag 20-26 / F 00882 Räder mit Sicherheitsmängeln – auch in München im Einsatz?,2024-02-29,Anfrage,12.04.2024,31.07.2024,Öffentlicher Vorgang,Erledigt,"FDP BAYERNPARTEI Stadtratsfraktion, Herr StR Prof. Dr. Jörg Hoffmann, Frau StRin Gabriele Neff, Herr StR Richard Progl, Herr StR Fritz Roth",Referat für Klima- und Umweltschutz,21.08.2024,https://risi.muenchen.de/risi/./dokument/v/8294121," 
MITGLIEDER IM STADTRAT DER LANDESHAUPTSTADT MÜNCHEN 
 
Prof. Dr. Jörg Hoffmann 
Gabriele Neff 
Fritz Roth 
Richard Progl 
 
 
 
 
Herrn 
Oberbürgermeister 
Dieter Reiter 
Rathaus 
 
 
 
29.02.2024 
 
 
Anfrage 
Räder mit Sicherheitsmängeln – auch in München im Einsatz?   
 
 
Laut Bericht des SPIEGEL vom 15. Februar 2024 wurden im grün-regierten Hannover durch 
einen niederländischen Fahrradhersteller verkaufte Lastenräder aus dem Verkehr gezogen, 
da sie eklatante Sicherheitsmängel aufwiesen. 1  
 
Wir fragen daher den Oberbürgermeister: 
 
1. Wie viele dieser Räder hat die Stadt in der Vergangenheit bezuschusst?  
2. Wie wird gewährleistet, dass die betroffenen Räder der Verkehrssicherheit genügen?  
3. Werden betroffene Räder aus dem Verkehr gezogen?  
4. Gibt es einen verkehrssicherheitstechnischen Kriterienkatalog/Prüfmaßstab für alle 
Gefährte, die die Stadt unmittelbar selbst finanziert oder fördert? Wenn nein, warum 
nicht?  
  
 
Stadträte:  Prof. Dr. Jörg Hoffmann (Fraktionsvorsitzender) 
   Gabriele Neff (stellv. Fraktionsvorsitzende) 
   Fritz Roth 
   Richard Progl 
 
1 https://www.spiegel.de/auto/niederlande-verbieten-verkauf-von-babboe-lastenraedern-a-cc963d3d-
e8ce-4a60-afc5-108ffd3aef84 
 
"
StR-Antrag 20-26 / F 00881 Warum läuft der Münchner Wohnen das Personal davon? – Aktualisierung,2024-02-29,Anfrage,11.04.2024,,Öffentlicher Vorgang,Erledigt,"Herr StR Prof. Dr. Jörg Hoffmann, Frau StRin Gabriele Neff, Herr StR Richard Progl, Herr StR Fritz Roth",Referat für Stadtplanung und Bauordnung,12.04.2024,https://risi.muenchen.de/risi/./dokument/v/8292724," 
MITGLIEDER IM STADTRAT DER LANDESHAUPTSTADT MÜNCHEN 
 
Prof. Dr. Jörg Hoffmann 
Gabriele Neff 
Fritz Roth 
Richard Progl 
 
 
 
 
Herrn 
Oberbürgermeister 
Dieter Reiter 
Rathaus 
 
 
 
29.02.2024 
 
 
Anfrage 
Warum läuft der Münchner Wohnen das Personal davon? – Aktualisierung  
 
 
Laut einem Pressebericht1 haben die zur „Münchner Wohnen“ fusionierten städtischen 
Wohnungsbaugesellschaften aktuell nun schon das vierte (!) Mitglied der Geschäftsführung 
innerhalb eines Jahres verloren. 
Die Münchner Wohnen wird langsam, aber sicher zum Gespött der Stadt. Abgesehen vom 
immensen Imageschaden, der bereits entstanden ist, erfüllt die fusionierte Gesellschaft auch 
in keiner Weise die in sie gesetzten Hoffnungen – die Personalkosten sind deutlich 
gestiegen, anstatt zu sinken. 
 
 
Wir fragen daher den Oberbürgermeister: 
 
1. Die Bearbeitungsfrist für unsere 1. Anfrage zum Thema (F 00839 vom 16.01.2024) ist 
bereits abgelaufen. Wann wird unsere Anfrage beantwortet – und wird dies der Fall 
sein, bevor bei der Münchner Wohnen niemand mehr da ist in der Führungsriege? 
2. Hätten sich bei rechtzeitiger Bearbeitung weitere Kündigungen verhindern lassen? 
3. Wann und wie gedenkt die Stadtspitze etwas zu unternehmen, damit nicht noch wei-
tere Manager der Münchner Wohnen den Rücken kehren? 
 
 
 
 
Stadträte:  Prof. Dr. Jörg Hoffmann (Fraktionsvorsitzender) 
   Gabriele Neff (stellv. Fraktionsvorsitzende) 
   Fritz Roth 
   Richard Progl 
 
1 https://www.bild.de/regional/muenchen/muenchen-aktuell/jetzt-geht-der-naechste-top-manager-
chaos-bei-der-muenchner-wohnen-87317866.bild.html 
"
StR-Antrag 20-26 / A 04666 Öffentliche Toiletten für alle: Bar- und Kartenzahlung ermöglichen,2024-02-29,Antrag,29.08.2024,31.12.2025,Öffentlicher Vorgang,In Bearbeitung,SPD / Volt - Fraktion,Mobilitätsreferat,,https://risi.muenchen.de/risi/./dokument/v/8292737,"Herrn
Oberbürgermeister
Dieter Reiter
Rathaus
Öffentliche Toiletten für alle: Bar- und Kartenzahlung 
ermöglichen
ANTRAG
Die Stadtverwaltung wird gebeten, mit der Deutschen Bahn AG zu verhandeln, dass an 
der öffentlichen Toilette am Hauptbahnhof (Ausgang Bayerstraße) auch eine 
Bargeldzahlung ermöglicht und nicht wie derzeit nur eine Kartenzahlung angeboten 
wird. Zudem soll die Stadtverwaltung bei der Errichtung von neuen öffentlichen 
Toiletten generell vorschreiben, dass es neben Karten- immer auch die Möglichkeit zur 
Barzahlung gibt.
BEGRÜNDUNG
Am Münchner Hauptbahnhof gibt es am Ausgang Richtung Bayerstraße eine 
öffentliche Toilette. Die kann aber nur von Menschen genutzt werden, die über eine 
EC- oder Kreditkarte verfügen, weil es dort keine Möglichkeit für eine Barzahlung gibt. 
Das ist vor allem für Kinder und Jugendliche, Seniorinnen und Senioren oder Menschen 
mit geringem Einkommen schwierig, die keine Karte zum Bezahlen haben. Die 
Toilettennutzung aber sollte jedem offenstehen. Deshalb soll die Stadtverwaltung bei 
der Deutschen Bahn darauf hinwirken, dass die Toilettenanlage mit einer Bargeld-
Bezahlfunktion nachgerüstet wird. Außerdem soll bei der Errichtung neuer öffentlicher 
Toiletten im Stadtgebiet zwingend vorgeschrieben werden, dass es neben Karten- 
immer auch die Möglichkeit zur Barzahlung gibt. Nur so ist sichergestellt, dass alle, die 
mal müssen, die WCs auch unkompliziert nutzen können. 
SPD/Volt-Fraktion:
Roland Hefter
Kathrin Abele
Marian Offman
Klaus Peter Rupp
Andreas Schuster
Micky Wenngatz
Christian Vorländer
Mitglieder des Stadtrates
München, 29. Februar 2024
A N T R A G"
StR-Antrag 20-26 / F 00880 Wie geht es weiter beim SC München Süd und FC Viktoria München?,2024-02-29,Anfrage,11.04.2024,31.05.2024,Öffentlicher Vorgang,Erledigt,"Herr StR Hans Hammer, Frau StRin Ulrike Grimm, Herr StR Hans-Peter Mehling",Referat für Bildung und Sport,27.09.2024,https://risi.muenchen.de/risi/./dokument/v/8292661," CSU-FW-Fraktion im Stadtrat |  Tel.: 089 233 92650  |  Fax: 089 233 92747 | csu-fw-fraktion@muenchen.de 
Rathaus |  Marienplatz 8  |  Zimmer 249/II  |  80331 München  
 
 
5. Warum hat konkret der SC München Süd bisher vom RBS keine Antwort auf sein 
Anliegen bekommen, am Sonntag zwischen 17 Uhr und 19 Uhr Spiele auf dem 
nahegelegenen Gelände des FFC Wacker durchführen zu können? 
 
6. Der FC Viktoria München 1924 e.V. hat der Stadt zuletzt am 09.02.2024 per Schreiben 
mitgeteilt, dass seit Beginn der Baumaßnahmen erhebliche Vakanzen bei 
Trainingsplätzen bestehen. Warum hat der Verein noch keine Antwort bekommen? 
Wie sieht die Lösung des Referats für das Problem des Vereins aus? 
 
 
 
Hans Hammer (Initiative)  Ulrike Grimm   Hans-Peter Mehling 
Stadtrat    Stadträtin   Stadtrat 
 "
StR-Antrag 20-26 / F 00883 Zahlen zu Fehlbelegungen bei Sozialwohnungen,2024-03-01,Anfrage,12.04.2024,,Öffentlicher Vorgang,Erledigt,"AfD, Herr StR Daniel Stanke, Herr StR Markus Walbrunn, Frau StRin Iris Wassill",Sozialreferat,21.05.2024,https://risi.muenchen.de/risi/./dokument/v/8294805,"Anfrage
Herrn Oberbürgermeister Dieter Reiter
Rathaus
80331 München München, 29.2.2024
Zahlen zu Fehlbelegungen bei Sozialwohnungen
Es gibt Hinweise darauf, dass offenbar auch in München größere Sozialwohnungen von berechtigten 
Nutzern untervermietet werden. Diese selbst bewohnen dann zusammen mit anderen Personen eine
andere Sozialwohnung. Hinweise können einer Belegungskontrolle zugeführt werden: 
https://stadt.muenchen.de/service/info/soziale-wohnraumversorgung/1076735/ „Aufgabe der 
Wohnraumüberwachung ist es daher, Belegungsverstöße in gefördertem Wohnraum aufzudecken, 
zu beenden und zu ahnden. Es existiert ein Ermittlungsdienst, der Wohnraum im Außendienst 
kontrolliert.“
Der Ob wird gebeten folgende Fragen zu beantworten:
1. Wie oft wurden der Wohnraumüberwachungsstelle Hinweise in den letzten fünf Jahren 
mitgeteilt?
2. Wie oft wurde der Ermittlungsdienst in diesem Zeitraum daraufhin tätig?
3. Wie viele Belegungsverstöße wurden vom Ermittlungsdienst dabei festgestellt?
4. Wird von der Wohnraumüberwachung auch kontrolliert, ob an den Briefkästen eventuell mehr
Namen stehen, als dort Nutzer wohnen?
a. Wenn ja, wie oft wurde derartiges festgestellt?
b. Wenn ja, welche Konsequenzen wurden gezogen?
c. Wenn nichts veranlasst wurde, bitte angeben, warum nicht?
Initiative:
Iris Wassill Markus Walbrunn Daniel Stanke
ea. Stadträtin                                                   ea. Stadtrat                                                              ea. Stadtrat
AfD-Stadtratsgruppe, Marienplatz 8, 80331 München Seite 1 von 1"
StR-Antrag 20-26 / F 00884 Chaos bei Münchner Wohnen I,2024-03-01,Anfrage,12.04.2024,13.05.2024,Öffentlicher Vorgang,Erledigt,"Herr StR Andreas Babor, Frau StRin Dr. Evelyne Menges",Referat für Stadtplanung und Bauordnung,24.05.2024,https://risi.muenchen.de/risi/./dokument/v/8295926," CSU-FW-Fraktion im Stadtrat |  Tel.: 089 233 92650  |  Fax: 089 233 92747 | csu-fw-fraktion@muenchen.de 
Rathaus |  Marienplatz 8  |  Zimmer 249/II  |  80331 München  
 
 
 
ANFRAGE 
 
An Herrn  
Oberbürgermeister  
Dieter Reiter  
 
Rathaus, Marienplatz 8, 80331 München 
 
 
 
 
              01.03.2024 
 
Chaos bei Münchner Wohnen I 
 
Wie die BILD Zeitung am 27.02.2024 berichtete, verlässt die Leiterin Personal bei dem erst 
zum 1. Januar 2024 fusionierten Unternehmen Münchner Wohnen bereits das Unternehmen. 
Dies ist der vierte Weggang von Spitzenleuten im zeitlichen Zusammenhang mit der 
Fusionierung.  
 
Dazu stellen sich folgende Fragen: 
 
1. Welcher Sachverhalt liegt der Eigenkündigung der Leiterin Personal zugrunde? 
 
2. Welche Versuche wurden, auch von der Aufsichtsratsvorsitzenden und vom 
Vorstandsvorsitzenden unternommen, die Leiterin Personal an Bord zu halten? 
 
3. Liegt der Grund der Eigenkündigung ggf. darin, dass der Leiterin Personal der 
ehemaligen GWG die Aufgabenerfüllung aufgrund einer zu schnellen Fusion in 
München Wohnen unmöglich geworden ist? 
 
4. Wird die Partizipation der ehemaligen GWG im Unternehmen Münchner Wohnen 
angemessen berücksichtigt? 
 
5. Wie viele Positionen in der Geschäftsführung, in der Geschäftsleitung und in den 
Bereichsleitungen sind mit ehemaligen Mitarbeitern der GWG oder der Gewofag 
besetzt? Wie ist hier das prozentuale Verhältnis? 
 
6. Sollte dies kein ausgeglichenes Verhältnis sein, was sind die Gründe hierfür? 
 
 
 
 
Andreas Babor     Dr. Evelyne Menges 
Stadtrat      Stv. Fraktionsvorsitzende 
"
StR-Antrag 20-26 / A 04667 Auswirkungen des geplanten EU-Renaturierungsgesetzes für die Stadt München prüfen und darstellen,2024-03-01,Antrag,01.09.2024,01.07.2025,Öffentlicher Vorgang,Erledigt,Fraktion Die Grünen - Rosa Liste,Referat für Klima- und Umweltschutz,30.07.2025,https://risi.muenchen.de/risi/./dokument/v/8295096,"Kommission  am  22.06.22  vorgestellte  und  am  27.02.24  vom  EU-Parlament  
beschlossene EU-Renaturierungsgesetz stellt einen wichtigen Baustein zur Lösung  
beider Probleme dar. Sie erkennt unmissverständlich an, dass die Natur unsere  
Verbündete im Kampf gegen die globale Erwärmung ist. Wir müssen die Natur nicht  
nur  um  ihrer  selbst  willen  schützen.  Ohne  gesunde  Ökosysteme  kein  trinkbares 
Wasser,  keine  fruchtbaren  Böden,  keine  saubere  Luft.  Die  Renaturierung  ist 
demnach  nicht  nur  unverzichtbar  für  die  Bekämpfung  der  globalen  Erwärmung, 
sondern auch zur Abmilderung ihrer Folgen.
München hat den Klimanotstand ausgerufen und will bis 2035 klimaneutral sein. Die  
LHM muss daher bestrebt sein, die Initiative der EU-Kommission aufzunehmen und  
nach Kräften innerhalb ihres Handlungsrahmens zu unterstützen. In einem ersten  
Schritt  müssen  die  neu  entstehenden  Verpflichtungen  daher  klar  und  
schnellstmöglich analysiert werden.
Fraktion Die Grünen – Rosa Liste 
Mona Fuchs
Florian Schönemann
Dr. Florian Roth
Anna Hanusch
Ursula Harper
Gunda Krauss
Sebastian Weisenburger
Clara Nitsche
Angelika Pilz-Strasser
Mitglieder des Stadtrats
Die Grünen – Rosa Liste, Marienplatz 8, 80331 München, Tel. 089/233-92620
www.gruene-fraktion-muenchen.de, gruene-rosaliste-fraktion@muenchen.de"
StR-Antrag 20-26 / F 00885 Chaos bei Münchner Wohnen II,2024-03-01,Anfrage,12.04.2024,,Öffentlicher Vorgang,Erledigt,"Herr StR Andreas Babor, Frau StRin Dr. Evelyne Menges",Referat für Stadtplanung und Bauordnung,13.05.2024,https://risi.muenchen.de/risi/./dokument/v/8295938," CSU-FW-Fraktion im Stadtrat |  Tel.: 089 233 92650  |  Fax: 089 233 92747 | csu-fw-fraktion@muenchen.de 
Rathaus |  Marienplatz 8  |  Zimmer 249/II  |  80331 München  
 
 
 
ANFRAGE 
 
An Herrn  
Oberbürgermeister  
Dieter Reiter  
 
Rathaus, Marienplatz 8, 80331 München 
 
 
              01.03.2024 
Chaos bei Münchner Wohnen II 
 
Wie die BILD Zeitung am 27.02.2024 berichtete, fallen 10 Millionen Euro mehr Personalkosten 
im fusionierten Unternehmen Münchner Wohnen ab 1. Januar 2024 an als in den ehemaligen 
Unternehmen GWG und Gewofag in 2023. Das Ziel der Fusion war jedoch nach Aussagen der 
Aufsichtsratsvorsitzenden und der Stadt München, Synergieeffekte zu erzielen, um dringend 
benötigte Wohnungen in München zu bauen. 
 
Dazu stellen sich folgende Fragen: 
 
1. Waren die Mehrkosten von 10 Millionen Euro VOR der Fusion der 
Aufsichtsratsvorsitzenden und der Alleingesellschafterin bekannt? 
 
2. Falls nein, weshalb waren diese Mehrkosten nicht bekannt? 
 
3. Falls ja, wieso werden Mehrkosten in Höhe von 10 Millionen Euro als Synergieeffekt 
zur Steigerung des Wohnungsbaus akzeptiert? 
 
4. Wie viele Wohnungen kann man mit den jährlichen Mehrkosten von 10 Millionen Euro 
bauen? 
 
5. Sind diese angefallenen Mehrkosten ein Indikator dafür, dass politische Motive die 
Fusion bestimmt haben und nicht sachorientierte wirtschaftliche Prüfungen? 
 
6. Wie wurden die vor der Fusion prognostizierten und verlautbarten Einsparpotentiale 
berechnet? 
 
7. Haben diese Berechnungen etwaige Lohnsteigerungen berücksichtigt? Wenn ja, wie 
kann es zu einer solch erheblichen Abweichung kommen, wenn nein, warum wurden 
sie nicht berücksichtigt? 
 
8. Sind weitere Mehrkosten zu erwarten, die im Vorfeld des Fusionsvorgangs nicht 
bekannt waren? 
 
Andreas Babor     Dr. Evelyne Menges 
Stadtrat      Stv. Fraktionsvorsitzende 
"
"StR-Antrag 20-26 / F 00888 Wie digital ist München? (V)
Digitale Teilhabe in der Landeshauptstadt München",2024-03-04,Anfrage,15.04.2024,,Öffentlicher Vorgang,Erledigt,"Herr StR Hans Hammer, Frau StRin Sabine Bär, Herr StR Leo Agerer, Frau StRin Ulrike Grimm, Herr StR Fabian Ewald",IT-Referat,18.04.2024,https://risi.muenchen.de/risi/./dokument/v/8298136," CSU-FW-Fraktion im Stadtrat |  Tel.: 089 233 92650  |  Fax: 089 233 92747 | csu-fw-fraktion@muenchen.de 
Rathaus |  Marienplatz 8  |  Zimmer 249/II  |  80331 München  
 
 
6. Auf welche Weise fördert die Stadt München die Digitalkompetenz ihrer Bürgerinnen 
und Bürger? Wie effektiv ist diese Förderung und gibt es Untersuchungen darüber , ob 
die Förderung der Digitalkompetenz der Bürger durch die Stadt jenseits der digitalen 
Bildung in den städtischen Schulen überhaupt sinnvoll möglich ist? 
 
Hans Hammer (Initiative)   Sabine Bär     Leo Agerer 
Stadtrat     Stadträtin    Stadtrat  
 
Ulrike Grimm     Fabian Ewald 
Stadträtin     Stadtrat "
"StR-Antrag 20-26 / F 00887 Webex-Skandal bei der Bundeswehr:
Welche Konsequenzen zieht die Landeshauptstadt München?",2024-03-04,Anfrage,15.04.2024,,Öffentlicher Vorgang,Erledigt,Fraktion ÖDP/München-Liste,IT-Referat,02.04.2024,https://risi.muenchen.de/risi/./dokument/v/8298223,"Fraktion Ökologisch-Demokratische Partei/München-Liste des Stadtrates 
der Landeshauptstadt München (Fraktion ÖDP/München-Liste) 
Rathaus, Marienplatz 8 ● Zimmer 116 -118 ● 80331 München 
● E-Mail: oedp-ml-fraktion@muechen.de  
● Telefon: 089 / 233 - 26922  
 
 
 
 
 
 
 
An den Oberbürgermeister 
der Landeshauptstadt München 
Herrn Dieter Reiter 
Rathaus, Marienplatz 8 
80331 München 
 
 München, 04.03.2024 
Anfrage: 
Webex-Skandal bei der Bundeswehr: 
Welche Konsequenzen zieht die Landeshauptstadt München? 
 
Die deutsche Bundeswehr ist Opfer eines Abhörskandals geworden. Das Gespräch, 
das von Russland abgehört wurde, wurde offenbar die amerikanische 
Kommunikationsplattform Webex geführt. Diese schien bisher recht sicher zu sein, 
da sie eine Ende-zu-Ende-Verschlüsselung ermöglicht. Diese Verschlüsselung muss 
jedoch manuell aktiviert werden und funktioniert nicht, wenn Teilnehmer sich per 
Telefon einwählen. 
 
Die Landeshauptstadt München setzt seit dem Ausbruch der Corona-Pandemie bei 
ihren Videokonferenzen auf die Plattform Webex. Auch auf kommunaler Ebene 
werden Themen besprochen, die vertraulich sind und bleiben sollen. 
 
Wir fragen deshalb den Herrn Oberbürgermeister: 
 
1. Wird die Landeshauptstadt München auch künftig Webex für Video- und 
Telefonkonferenzen nutzen? 
2. Welche Alternativen zu Webex wurden in Betracht gezogen und wie 
schneiden sie in Bezug auf Daten- und Zugriffs-Sicherheit ab? 
3. Welche Maßnahmen ergreift die Landeshauptstadt München, um vertrauliche 
Daten zu schützen (z. B. Schulungen für Mitarbeiter, Sicherheitsrichtlinien 
oder regelmäßige Audits)? 
4. Wie wird sichergestellt, dass nur autorisierte Benutzer an Webex-Meetings 
teilnehmen können und dass keine unbefugten Zugriffe erfolgen? 
5. Gibt es spezielle Sicherheitsrichtlinien oder Best Practices, die von der 
Landeshauptstadt München für die Nutzung von Webex und anderen 
Programmen festgelegt wurden? 
 
Initiative: 
Dirk Höpner, IT-Politischer Sprecher 
Sonja Haider, stellv. Fraktionsvorsitzende 
Tobias Ruff, Fraktionsvorsitzender 
Nicola Holtmann, Stadträtin   
"
"StR-Antrag 20-26 / A 04670 Wie digital ist München? (II)
Umsetzung elektronischer Signaturen in München noch in diesem Jahr",2024-03-04,Antrag,04.09.2024,30.11.2024,Öffentlicher Vorgang,Erledigt,"Herr StR Fabian Ewald, Frau StRin Sabine Bär, Herr StR Leo Agerer, Frau StRin Ulrike Grimm, Herr StR Hans Hammer, Frau StRin Dr. Evelyne Menges, Herr StR Hans-Peter Mehling",IT-Referat,18.12.2024,https://risi.muenchen.de/risi/./dokument/v/8297965," CSU-FW-Fraktion im Stadtrat |  Tel.: 089 233 92650  |  Fax: 089 233 92747 | csu-fw-fraktion@muenchen.de 
Rathaus |  Marienplatz 8  |  Zimmer 249/II  |  80331 München  
 
 
Um endlich zu einer vollständigen, effizienten Digitalisierung einfachster Verwaltungsprozesse 
zu gelangen, müssen digitale Signaturen dringend in allen Referaten unverzüglich nutzbar ge-
macht werden. 
 
Fabian Ewald (Initiative) Sabine Bär    Leo Agerer  Hans Hammer  
Stadtrat   Stadträtin   Stadtrat   Stadtrat 
 
Ulrike Grimm   Dr. Evelyne Menges    Hans-Peter Mehling 
Stadträtin   Stv. Fraktionsvorsitzende   Stadtrat "
StR-Antrag 20-26 / A 04668 Ein Kita-Gebührendeckel für Bayern!,2024-03-04,Antrag,04.09.2024,31.12.2025,Öffentlicher Vorgang,Sitzungsvorlage,"SPD / Volt - Fraktion, Fraktion Die Grünen - Rosa Liste",Referat für Bildung und Sport,,https://risi.muenchen.de/risi/./dokument/v/8297671,"SPD/Volt-Fraktion Fraktion Die Grünen – Rosa Liste
Julia Schönfeld-Knor Sebastian Weisenburger
Lena Odell Marion Lüttig
Anne Hübner Nimet Gökmenoğlu
Christian Köning Anja Berger
Kathrin Abele Sofie Langmeier
Barbara Likus Andreas Voßeler
Cumali Naz Clara Nitsche
Roland Hefter Gunda Krauss
Ursula Harper
Sibylle Stöhr
Thomas Niederbühl
Gudrun Lux
Angelika Pilz-Strasser
Mitglieder des Stadtrates Mitglieder des Stadtrates
A N T R A G"
"StR-Antrag 20-26 / A 04671 Wie digital ist München? (IV)
End-to-End Digitalisierung vorantreiben",2024-03-04,Antrag,04.09.2024,30.11.2024,Öffentlicher Vorgang,Erledigt,"Frau StRin Sabine Bär, Frau StRin Ulrike Grimm, Herr StR Hans Hammer, Herr StR Leo Agerer, Herr StR Fabian Ewald",IT-Referat,18.12.2024,https://risi.muenchen.de/risi/./dokument/v/8298094," CSU-FW-Fraktion im Stadtrat |  Tel.: 089 233 92650  |  Fax: 089 233 92747 | csu-fw-fraktion@muenchen.de 
Rathaus |  Marienplatz 8  |  Zimmer 249/II  |  80331 München  
 
 
• Reduzierung von Papierkram und manuellen Eingaben. 
• Erhöhung der Transparenz und Zugänglichkeit von Informationen. 
• Stärkung der Datensicherheit und Datenschutzmaßnahmen. 
 
Sabine Bär (Initiative)   Ulrike Grimm    Hans Hammer 
Stadträtin     Stadträtin    Stadtrat  
 
Leo Agerer     Fabian Ewald 
Stadtrat     Stadtrat     "
"StR-Antrag 20-26 / F 00886 Wie digital ist München (III) 
Anfrage zur Evaluation und aktuellen Nutzung des Bürgerterminals",2024-03-04,Anfrage,15.04.2024,,Öffentlicher Vorgang,Erledigt,"Herr StR Hans Hammer, Frau StRin Sabine Bär, Herr StR Leo Agerer, Frau StRin Ulrike Grimm, Herr StR Fabian Ewald, Frau StRin Dr. Evelyne Menges, Frau StRin Alexandra Gaßmann",IT-Referat,16.04.2024,https://risi.muenchen.de/risi/./dokument/v/8298069," CSU-FW-Fraktion im Stadtrat |  Tel.: 089 233 92650  |  Fax: 089 233 92747 | csu-fw-fraktion@muenchen.de 
Rathaus |  Marienplatz 8  |  Zimmer 249/II  |  80331 München  
 
 
 
ANFRAGE 
 
An Herrn  
Oberbürgermeister  
Dieter Reiter  
 
Rathaus, Marienplatz 8, 80331 München 
 
 
         
                 04.03.2024  
 
 
Wie digital ist München (III)  
Anfrage zur Evaluation und aktuellen Nutzung des Bürgerterminals 
 
Im Zuge der Digitalisierung öffentlicher Dienstleistungen haben wir mit großem Interesse die 
Bemühungen der Stadt München, diese durch den Einsatz von Bürgerterminals zu verbessern, 
verfolgt. Um ein umfassendes Verständnis von deren Effektivität und Nutzen für die 
Bürgerinnen und Bürger zu gewinnen, bitten wir um Auskunft zu folgenden Punkten: 
  
1. Wie wird die Effizienz des Bürgerterminals bewertet und welche Kriterien werden 
hierfür herangezogen? 
2. Welche spezifischen Leistungen können die Bürgerinnen und Bürger aktuell am 
Bürgerterminal in Anspruch nehmen?  
3. Wie wird das Bürgerterminal von den Bürgerinnen und Bürger der LHM angenommen?  
4. Gibt es bereits Erkenntnisse über den Erfolg von Bürgerterminals  als Modell für 
öffentliche Digitalangebote und der Verbesserung der digitalen Teilhabe? 
5. Welchen Vorteil haben Bürgerterminals gegenüber der Nutzung digitaler 
Dienstleistungen auf privaten Smar tphones, Tablets oder Computern? Gibt es Nutzer, 
die keines der o.g. Geräte zur Verfügung haben und Bürgerterminals nutzen?    
6. Welche konkreten Verbesserungen und Weiterentwicklungen wurden während Ihrer 
Amtszeit am System des Bürgerterminals vorgenommen?  
 
Hans Hammer (Initiative)  Sabine Bär   Leo Agerer   Ulrike Grimm  
Stadtrat    Stadträtin  Stadtrat   Stadträtin 
 
Fabian Ewald     Alexandra Gaßmann  Dr. Evelyne Menges 
Stadtrat    Stadträtin    Stv. Fraktionsvorsitzende 
"
